1769573781.910533 server started (50665): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1769573781.910548 on Linux 6.18.6-200.fc43.x86_64 #1 SMP PREEMPT_DYNAMIC Sun Jan 18 18:57:00 UTC 2026
1769573781.910558 using libevent 2.1.12-stable poll
1769573781.910563 using ncurses 6.5 20250614
1769573781.943821 yylex_token: end at WS
1769573781.943824 yylex_token: -Tcopy-mode
1769573781.943827 yylex_token: end at WS
1769573781.943831 yylex_token: n
1769573781.943834 yylex_token: end at WS
1769573781.943837 yylex_token: send
1769573781.943840 yylex_token: end at WS
1769573781.943844 yylex_token: -X
1769573781.943847 yylex_token: end at WS
1769573781.943850 yylex_token: search-again
1769573781.943854 cmd_parse_build_commands 0:0: bind
1769573781.943857 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.943861 cmd_parse_build_commands 0:2: n
1769573781.943864 cmd_parse_build_commands 0:3 0:0: send
1769573781.943868 cmd_parse_build_commands 0:3 0:1: -X
1769573781.943871 cmd_parse_build_commands 0:3 0:2: search-again
1769573781.943875 cmd_parse_build_commands 0:0: send
1769573781.943878 cmd_parse_build_commands 0:1: -X
1769573781.943882 cmd_parse_build_commands 0:2: search-again
1769573781.943886 args_parse_flags: next -X
1769573781.943889 args_parse_flags: -X
1769573781.943892 args_parse_flags: next search-again
1769573781.943896 args_parse: flags end at 2 of 3
1769573781.943899 args_parse: 2 = search-again (type STRING)
1769573781.943903 cmd_parse_build_commands: send-keys -X search-again
1769573781.943907 args_parse_flags: next -Tcopy-mode
1769573781.943910 args_parse_flag_argument: -T = copy-mode
1769573781.943913 args_parse_flags: next n
1769573781.943917 args_parse: flags end at 2 of 4
1769573781.943920 args_parse: 2 = n (type STRING)
1769573781.943924 args_parse: 3 = send-keys -X search-again (type COMMANDS)
1769573781.943929 cmd_parse_build_commands: bind-key -T copy-mode n { send-keys -X search-again }
1769573781.943933 cmdq_get_command: [bind-key/0x564fc42896a0] group 1539
1769573781.943936 cmdq_append <global>: [bind-key/0x564fc42896a0]
1769573781.943940 yylex_token: end at WS
1769573781.943944 yylex_token: bind
1769573781.943947 yylex_token: end at WS
1769573781.943950 yylex_token: -Tcopy-mode
1769573781.943959 yylex_token: end at WS
1769573781.943962 yylex_token: q
1769573781.943965 yylex_token: end at WS
1769573781.943969 yylex_token: send
1769573781.943972 yylex_token: end at WS
1769573781.943975 yylex_token: -X
1769573781.943979 yylex_token: end at WS
1769573781.943982 yylex_token: cancel
1769573781.943986 cmd_parse_build_commands 0:0: bind
1769573781.943989 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.943992 cmd_parse_build_commands 0:2: q
1769573781.943996 cmd_parse_build_commands 0:3 0:0: send
1769573781.943999 cmd_parse_build_commands 0:3 0:1: -X
1769573781.944003 cmd_parse_build_commands 0:3 0:2: cancel
1769573781.944006 cmd_parse_build_commands 0:0: send
1769573781.944010 cmd_parse_build_commands 0:1: -X
1769573781.944013 cmd_parse_build_commands 0:2: cancel
1769573781.944017 args_parse_flags: next -X
1769573781.944021 args_parse_flags: -X
1769573781.944024 args_parse_flags: next cancel
1769573781.944027 args_parse: flags end at 2 of 3
1769573781.944031 args_parse: 2 = cancel (type STRING)
1769573781.944035 cmd_parse_build_commands: send-keys -X cancel
1769573781.944038 args_parse_flags: next -Tcopy-mode
1769573781.944042 args_parse_flag_argument: -T = copy-mode
1769573781.944045 args_parse_flags: next q
1769573781.944048 args_parse: flags end at 2 of 4
1769573781.944052 args_parse: 2 = q (type STRING)
1769573781.944056 args_parse: 3 = send-keys -X cancel (type COMMANDS)
1769573781.944060 cmd_parse_build_commands: bind-key -T copy-mode q { send-keys -X cancel }
1769573781.944064 cmdq_get_command: [bind-key/0x564fc4289f00] group 1547
1769573781.944068 cmdq_append <global>: [bind-key/0x564fc4289f00]
1769573781.944072 yylex_token: end at WS
1769573781.944075 yylex_token: bind
1769573781.944078 yylex_token: end at WS
1769573781.944082 yylex_token: -Tcopy-mode
1769573781.944085 yylex_token: end at WS
1769573781.944088 yylex_token: r
1769573781.944092 yylex_token: end at WS
1769573781.944095 yylex_token: send
1769573781.944099 yylex_token: end at WS
1769573781.944104 yylex_token: -X
1769573781.944107 yylex_token: end at WS
1769573781.944111 yylex_token: refresh-from-pane
1769573781.944114 cmd_parse_build_commands 0:0: bind
1769573781.944118 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.944121 cmd_parse_build_commands 0:2: r
1769573781.944125 cmd_parse_build_commands 0:3 0:0: send
1769573781.944128 cmd_parse_build_commands 0:3 0:1: -X
1769573781.944132 cmd_parse_build_commands 0:3 0:2: refresh-from-pane
1769573781.944135 cmd_parse_build_commands 0:0: send
1769573781.944139 cmd_parse_build_commands 0:1: -X
1769573781.944142 cmd_parse_build_commands 0:2: refresh-from-pane
1769573781.944146 args_parse_flags: next -X
1769573781.944150 args_parse_flags: -X
1769573781.944153 args_parse_flags: next refresh-from-pane
1769573781.944156 args_parse: flags end at 2 of 3
1769573781.944160 args_parse: 2 = refresh-from-pane (type STRING)
1769573781.944164 cmd_parse_build_commands: send-keys -X refresh-from-pane
1769573781.944168 args_parse_flags: next -Tcopy-mode
1769573781.944171 args_parse_flag_argument: -T = copy-mode
1769573781.944174 args_parse_flags: next r
1769573781.944178 args_parse: flags end at 2 of 4
1769573781.944181 args_parse: 2 = r (type STRING)
1769573781.944185 args_parse: 3 = send-keys -X refresh-from-pane (type COMMANDS)
1769573781.944190 cmd_parse_build_commands: bind-key -T copy-mode r { send-keys -X refresh-from-pane }
1769573781.944194 cmdq_get_command: [bind-key/0x564fc428a3a0] group 1555
1769573781.944197 cmdq_append <global>: [bind-key/0x564fc428a3a0]
1769573781.944203 yylex_token: end at WS
1769573781.944206 yylex_token: bind
1769573781.944209 yylex_token: end at WS
1769573781.944213 yylex_token: -Tcopy-mode
1769573781.944216 yylex_token: end at WS
1769573781.944219 yylex_token: t
1769573781.944223 yylex_token: end at WS
1769573781.944226 yylex_token: command-prompt
1769573781.944230 yylex_token: end at WS
1769573781.944233 yylex_token: -1p(jump to forward)
1769573781.944236 yylex_token: end at WS
1769573781.944240 yylex_token: send
1769573781.944243 yylex_token: end at WS
1769573781.944246 yylex_token: -X
1769573781.944250 yylex_token: end at WS
1769573781.944253 yylex_token: jump-to-forward
1769573781.944256 yylex_token: end at WS
1769573781.944259 yylex_token: %%
1769573781.944263 cmd_parse_build_commands 0:0: bind
1769573781.944267 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.944270 cmd_parse_build_commands 0:2: t
1769573781.944273 cmd_parse_build_commands 0:3 0:0: command-prompt
1769573781.944277 cmd_parse_build_commands 0:3 0:1: -1p(jump to forward)
1769573781.944280 cmd_parse_build_commands 0:3 0:2 0:0: send
1769573781.944284 cmd_parse_build_commands 0:3 0:2 0:1: -X
1769573781.944287 cmd_parse_build_commands 0:3 0:2 0:2: jump-to-forward
1769573781.944291 cmd_parse_build_commands 0:3 0:2 0:3: %%
1769573781.944295 cmd_parse_build_commands 0:0: command-prompt
1769573781.944298 cmd_parse_build_commands 0:1: -1p(jump to forward)
1769573781.944301 cmd_parse_build_commands 0:2 0:0: send
1769573781.944305 cmd_parse_build_commands 0:2 0:1: -X
1769573781.944308 cmd_parse_build_commands 0:2 0:2: jump-to-forward
1769573781.944312 cmd_parse_build_commands 0:2 0:3: %%
1769573781.944315 cmd_parse_build_commands 0:0: send
1769573781.944319 cmd_parse_build_commands 0:1: -X
1769573781.944322 cmd_parse_build_commands 0:2: jump-to-forward
1769573781.944325 cmd_parse_build_commands 0:3: %%
1769573781.944329 args_parse_flags: next -X
1769573781.944333 args_parse_flags: -X
1769573781.944336 args_parse_flags: next jump-to-forward
1769573781.944339 args_parse: flags end at 2 of 4
1769573781.944343 args_parse: 2 = jump-to-forward (type STRING)
1769573781.944346 args_parse: 3 = %% (type STRING)
1769573781.944351 cmd_parse_build_commands: send-keys -X jump-to-forward "%%"
1769573781.944354 args_parse_flags: next -1p(jump to forward)
1769573781.944358 args_parse_flags: -1
1769573781.944361 args_parse_flag_argument: -p = (jump to forward)
1769573781.944365 args_parse: flags end at 2 of 3
1769573781.944372 args_parse: 2 = send-keys -X jump-to-forward "%%" (type COMMANDS)
1769573781.944378 cmd_parse_build_commands: command-prompt -1 -p "(jump to forward)" { send-keys -X jump-to-forward "%%" }
1769573781.944382 args_parse_flags: next -Tcopy-mode
1769573781.944385 args_parse_flag_argument: -T = copy-mode
1769573781.944389 args_parse_flags: next t
1769573781.944392 args_parse: flags end at 2 of 4
1769573781.944395 args_parse: 2 = t (type STRING)
1769573781.944401 args_parse: 3 = command-prompt -1 -p "(jump to forward)" { send-keys -X jump-to-forward "%%" } (type COMMANDS)
1769573781.944407 cmd_parse_build_commands: bind-key -T copy-mode t { command-prompt -1 -p "(jump to forward)" { send-keys -X jump-to-forward "%%" } }
1769573781.944410 cmdq_get_command: [bind-key/0x564fc4264990] group 1563
1769573781.944414 cmdq_append <global>: [bind-key/0x564fc4264990]
1769573781.944418 yylex_token: end at WS
1769573781.944422 yylex_token: bind
1769573781.944425 yylex_token: end at WS
1769573781.944428 yylex_token: -Tcopy-mode
1769573781.944432 yylex_token: end at WS
1769573781.944435 yylex_token: Home
1769573781.944438 yylex_token: end at WS
1769573781.944441 yylex_token: send
1769573781.944445 yylex_token: end at WS
1769573781.944448 yylex_token: -X
1769573781.944451 yylex_token: end at WS
1769573781.944455 yylex_token: start-of-line
1769573781.944458 cmd_parse_build_commands 0:0: bind
1769573781.944462 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.944465 cmd_parse_build_commands 0:2: Home
1769573781.944469 cmd_parse_build_commands 0:3 0:0: send
1769573781.944472 cmd_parse_build_commands 0:3 0:1: -X
1769573781.944475 cmd_parse_build_commands 0:3 0:2: start-of-line
1769573781.944479 cmd_parse_build_commands 0:0: send
1769573781.944483 cmd_parse_build_commands 0:1: -X
1769573781.944486 cmd_parse_build_commands 0:2: start-of-line
1769573781.944490 args_parse_flags: next -X
1769573781.944493 args_parse_flags: -X
1769573781.944497 args_parse_flags: next start-of-line
1769573781.944500 args_parse: flags end at 2 of 3
1769573781.944504 args_parse: 2 = start-of-line (type STRING)
1769573781.944508 cmd_parse_build_commands: send-keys -X start-of-line
1769573781.944511 args_parse_flags: next -Tcopy-mode
1769573781.944515 args_parse_flag_argument: -T = copy-mode
1769573781.944518 args_parse_flags: next Home
1769573781.944521 args_parse: flags end at 2 of 4
1769573781.944525 args_parse: 2 = Home (type STRING)
1769573781.944529 args_parse: 3 = send-keys -X start-of-line (type COMMANDS)
1769573781.944534 cmd_parse_build_commands: bind-key -T copy-mode Home { send-keys -X start-of-line }
1769573781.944537 cmdq_get_command: [bind-key/0x564fc428b210] group 1575
1769573781.944541 cmdq_append <global>: [bind-key/0x564fc428b210]
1769573781.944545 yylex_token: end at WS
1769573781.944548 yylex_token: bind
1769573781.944551 yylex_token: end at WS
1769573781.944555 yylex_token: -Tcopy-mode
1769573781.944558 yylex_token: end at WS
1769573781.944561 yylex_token: End
1769573781.944565 yylex_token: end at WS
1769573781.944568 yylex_token: send
1769573781.944571 yylex_token: end at WS
1769573781.944574 yylex_token: -X
1769573781.944578 yylex_token: end at WS
1769573781.944581 yylex_token: end-of-line
1769573781.944585 cmd_parse_build_commands 0:0: bind
1769573781.944588 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.944591 cmd_parse_build_commands 0:2: End
1769573781.944595 cmd_parse_build_commands 0:3 0:0: send
1769573781.944598 cmd_parse_build_commands 0:3 0:1: -X
1769573781.944602 cmd_parse_build_commands 0:3 0:2: end-of-line
1769573781.944605 cmd_parse_build_commands 0:0: send
1769573781.944609 cmd_parse_build_commands 0:1: -X
1769573781.944612 cmd_parse_build_commands 0:2: end-of-line
1769573781.944616 args_parse_flags: next -X
1769573781.944620 args_parse_flags: -X
1769573781.944623 args_parse_flags: next end-of-line
1769573781.944626 args_parse: flags end at 2 of 3
1769573781.944630 args_parse: 2 = end-of-line (type STRING)
1769573781.944634 cmd_parse_build_commands: send-keys -X end-of-line
1769573781.944637 args_parse_flags: next -Tcopy-mode
1769573781.944643 args_parse_flag_argument: -T = copy-mode
1769573781.944648 args_parse_flags: next End
1769573781.944651 args_parse: flags end at 2 of 4
1769573781.944655 args_parse: 2 = End (type STRING)
1769573781.944659 args_parse: 3 = send-keys -X end-of-line (type COMMANDS)
1769573781.944664 cmd_parse_build_commands: bind-key -T copy-mode End { send-keys -X end-of-line }
1769573781.944667 cmdq_get_command: [bind-key/0x564fc428b4b0] group 1583
1769573781.944671 cmdq_append <global>: [bind-key/0x564fc428b4b0]
1769573781.944684 yylex_token: end at WS
1769573781.944688 yylex_token: bind
1769573781.944691 yylex_token: end at WS
1769573781.944694 yylex_token: -Tcopy-mode
1769573781.944698 yylex_token: end at WS
1769573781.944701 yylex_token: MouseDown1Pane
1769573781.944705 yylex_token: end at EOF
1769573781.944708 yylex_token: select-pane
1769573781.944718 cmd_parse_build_commands 0:0: bind
1769573781.944722 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.944725 cmd_parse_build_commands 0:2: MouseDown1Pane
1769573781.944728 cmd_parse_build_commands 0:3: select-pane
1769573781.944732 args_parse_flags: next -Tcopy-mode
1769573781.944736 args_parse_flag_argument: -T = copy-mode
1769573781.944739 args_parse_flags: next MouseDown1Pane
1769573781.944743 args_parse: flags end at 2 of 4
1769573781.944746 args_parse: 2 = MouseDown1Pane (type STRING)
1769573781.944750 args_parse: 3 = select-pane (type STRING)
1769573781.944755 cmd_parse_build_commands: bind-key -T copy-mode MouseDown1Pane select-pane
1769573781.944759 cmdq_get_command: [bind-key/0x564fc428b6d0] group 1591
1769573781.944762 cmdq_append <global>: [bind-key/0x564fc428b6d0]
1769573781.944766 yylex_token: end at WS
1769573781.944769 yylex_token: bind
1769573781.944773 yylex_token: end at WS
1769573781.944776 yylex_token: -Tcopy-mode
1769573781.944779 yylex_token: end at WS
1769573781.944783 yylex_token: MouseDrag1Pane
1769573781.944786 yylex_token: end at ;
1769573781.944789 yylex_token: select-pane
1769573781.944793 yylex_token: end at WS
1769573781.944796 yylex_token: send
1769573781.944799 yylex_token: end at WS
1769573781.944803 yylex_token: -X
1769573781.944806 yylex_token: end at WS
1769573781.944809 yylex_token: begin-selection
1769573781.944813 cmd_parse_build_commands 0:0: bind
1769573781.944817 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.944820 cmd_parse_build_commands 0:2: MouseDrag1Pane
1769573781.944824 cmd_parse_build_commands 0:3 0:0: select-pane
1769573781.944827 cmd_parse_build_commands 0:3 1:0: send
1769573781.944831 cmd_parse_build_commands 0:3 1:1: -X
1769573781.944834 cmd_parse_build_commands 0:3 1:2: begin-selection
1769573781.944838 cmd_parse_build_commands 0:0: select-pane
1769573781.944841 cmd_parse_build_commands 1:0: send
1769573781.944845 cmd_parse_build_commands 1:1: -X
1769573781.944848 cmd_parse_build_commands 1:2: begin-selection
1769573781.944852 args_parse: flags end at 1 of 1
1769573781.944857 args_parse_flags: next -X
1769573781.944860 args_parse_flags: -X
1769573781.944863 args_parse_flags: next begin-selection
1769573781.944867 args_parse: flags end at 2 of 3
1769573781.944870 args_parse: 2 = begin-selection (type STRING)
1769573781.944875 cmd_parse_build_commands: select-pane ; send-keys -X begin-selection
1769573781.944878 args_parse_flags: next -Tcopy-mode
1769573781.944882 args_parse_flag_argument: -T = copy-mode
1769573781.944885 args_parse_flags: next MouseDrag1Pane
1769573781.944889 args_parse: flags end at 2 of 4
1769573781.944892 args_parse: 2 = MouseDrag1Pane (type STRING)
1769573781.944897 args_parse: 3 = select-pane ; send-keys -X begin-selection (type COMMANDS)
1769573781.944902 cmd_parse_build_commands: bind-key -T copy-mode MouseDrag1Pane { select-pane ; send-keys -X begin-selection }
1769573781.944906 cmdq_get_command: [bind-key/0x564fc428bd80] group 1595
1769573781.944910 cmdq_append <global>: [bind-key/0x564fc428bd80]
1769573781.944913 yylex_token: end at WS
1769573781.944917 yylex_token: bind
1769573781.944920 yylex_token: end at WS
1769573781.944923 yylex_token: -Tcopy-mode
1769573781.944927 yylex_token: end at WS
1769573781.944933 yylex_token: MouseDragEnd1Pane
1769573781.944938 yylex_token: end at WS
1769573781.944942 yylex_token: send
1769573781.944945 yylex_token: end at WS
1769573781.944948 yylex_token: -X
1769573781.944952 yylex_token: end at WS
1769573781.944961 yylex_token: copy-pipe-and-cancel
1769573781.944965 cmd_parse_build_commands 0:0: bind
1769573781.944969 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.944972 cmd_parse_build_commands 0:2: MouseDragEnd1Pane
1769573781.944976 cmd_parse_build_commands 0:3 0:0: send
1769573781.944979 cmd_parse_build_commands 0:3 0:1: -X
1769573781.944983 cmd_parse_build_commands 0:3 0:2: copy-pipe-and-cancel
1769573781.944986 cmd_parse_build_commands 0:0: send
1769573781.944990 cmd_parse_build_commands 0:1: -X
1769573781.944993 cmd_parse_build_commands 0:2: copy-pipe-and-cancel
1769573781.944998 args_parse_flags: next -X
1769573781.945001 args_parse_flags: -X
1769573781.945004 args_parse_flags: next copy-pipe-and-cancel
1769573781.945008 args_parse: flags end at 2 of 3
1769573781.945011 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1769573781.945016 cmd_parse_build_commands: send-keys -X copy-pipe-and-cancel
1769573781.945019 args_parse_flags: next -Tcopy-mode
1769573781.945023 args_parse_flag_argument: -T = copy-mode
1769573781.945026 args_parse_flags: next MouseDragEnd1Pane
1769573781.945029 args_parse: flags end at 2 of 4
1769573781.945033 args_parse: 2 = MouseDragEnd1Pane (type STRING)
1769573781.945037 args_parse: 3 = send-keys -X copy-pipe-and-cancel (type COMMANDS)
1769573781.945043 cmd_parse_build_commands: bind-key -T copy-mode MouseDragEnd1Pane { send-keys -X copy-pipe-and-cancel }
1769573781.945047 cmdq_get_command: [bind-key/0x564fc428bf90] group 1604
1769573781.945051 cmdq_append <global>: [bind-key/0x564fc428bf90]
1769573781.945054 yylex_token: end at WS
1769573781.945058 yylex_token: bind
1769573781.945061 yylex_token: end at WS
1769573781.945064 yylex_token: -Tcopy-mode
1769573781.945068 yylex_token: end at WS
1769573781.945071 yylex_token: WheelUpPane
1769573781.945075 yylex_token: end at ;
1769573781.945078 yylex_token: select-pane
1769573781.945081 yylex_token: end at WS
1769573781.945085 yylex_token: send
1769573781.945088 yylex_token: end at WS
1769573781.945091 yylex_token: -N5
1769573781.945094 yylex_token: end at WS
1769573781.945098 yylex_token: -X
1769573781.945101 yylex_token: end at WS
1769573781.945104 yylex_token: scroll-up
1769573781.945108 cmd_parse_build_commands 0:0: bind
1769573781.945112 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.945115 cmd_parse_build_commands 0:2: WheelUpPane
1769573781.945119 cmd_parse_build_commands 0:3 0:0: select-pane
1769573781.945122 cmd_parse_build_commands 0:3 1:0: send
1769573781.945125 cmd_parse_build_commands 0:3 1:1: -N5
1769573781.945129 cmd_parse_build_commands 0:3 1:2: -X
1769573781.945132 cmd_parse_build_commands 0:3 1:3: scroll-up
1769573781.945136 cmd_parse_build_commands 0:0: select-pane
1769573781.945139 cmd_parse_build_commands 1:0: send
1769573781.945143 cmd_parse_build_commands 1:1: -N5
1769573781.945146 cmd_parse_build_commands 1:2: -X
1769573781.945149 cmd_parse_build_commands 1:3: scroll-up
1769573781.945154 args_parse: flags end at 1 of 1
1769573781.945158 args_parse_flags: next -N5
1769573781.945161 args_parse_flag_argument: -N = 5
1769573781.945164 args_parse_flags: next -X
1769573781.945168 args_parse_flags: -X
1769573781.945171 args_parse_flags: next scroll-up
1769573781.945174 args_parse: flags end at 3 of 4
1769573781.945178 args_parse: 3 = scroll-up (type STRING)
1769573781.945183 cmd_parse_build_commands: select-pane ; send-keys -X -N 5 scroll-up
1769573781.945187 args_parse_flags: next -Tcopy-mode
1769573781.945190 args_parse_flag_argument: -T = copy-mode
1769573781.945193 args_parse_flags: next WheelUpPane
1769573781.945197 args_parse: flags end at 2 of 4
1769573781.945200 args_parse: 2 = WheelUpPane (type STRING)
1769573781.945205 args_parse: 3 = select-pane ; send-keys -X -N 5 scroll-up (type COMMANDS)
1769573781.945210 cmd_parse_build_commands: bind-key -T copy-mode WheelUpPane { select-pane ; send-keys -X -N 5 scroll-up }
1769573781.945218 cmdq_get_command: [bind-key/0x564fc428c290] group 1612
1769573781.945223 cmdq_append <global>: [bind-key/0x564fc428c290]
1769573781.945229 yylex_token: end at WS
1769573781.945232 yylex_token: bind
1769573781.945235 yylex_token: end at WS
1769573781.945239 yylex_token: -Tcopy-mode
1769573781.945242 yylex_token: end at WS
1769573781.945245 yylex_token: WheelDownPane
1769573781.945249 yylex_token: end at ;
1769573781.945252 yylex_token: select-pane
1769573781.945256 yylex_token: end at WS
1769573781.945259 yylex_token: send
1769573781.945262 yylex_token: end at WS
1769573781.945265 yylex_token: -N5
1769573781.945269 yylex_token: end at WS
1769573781.945272 yylex_token: -X
1769573781.945275 yylex_token: end at WS
1769573781.945279 yylex_token: scroll-down
1769573781.945283 cmd_parse_build_commands 0:0: bind
1769573781.945286 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.945290 cmd_parse_build_commands 0:2: WheelDownPane
1769573781.945293 cmd_parse_build_commands 0:3 0:0: select-pane
1769573781.945296 cmd_parse_build_commands 0:3 1:0: send
1769573781.945300 cmd_parse_build_commands 0:3 1:1: -N5
1769573781.945303 cmd_parse_build_commands 0:3 1:2: -X
1769573781.945307 cmd_parse_build_commands 0:3 1:3: scroll-down
1769573781.945310 cmd_parse_build_commands 0:0: select-pane
1769573781.945314 cmd_parse_build_commands 1:0: send
1769573781.945317 cmd_parse_build_commands 1:1: -N5
1769573781.945320 cmd_parse_build_commands 1:2: -X
1769573781.945324 cmd_parse_build_commands 1:3: scroll-down
1769573781.945328 args_parse: flags end at 1 of 1
1769573781.945332 args_parse_flags: next -N5
1769573781.945336 args_parse_flag_argument: -N = 5
1769573781.945339 args_parse_flags: next -X
1769573781.945342 args_parse_flags: -X
1769573781.945346 args_parse_flags: next scroll-down
1769573781.945349 args_parse: flags end at 3 of 4
1769573781.945352 args_parse: 3 = scroll-down (type STRING)
1769573781.945357 cmd_parse_build_commands: select-pane ; send-keys -X -N 5 scroll-down
1769573781.945361 args_parse_flags: next -Tcopy-mode
1769573781.945364 args_parse_flag_argument: -T = copy-mode
1769573781.945367 args_parse_flags: next WheelDownPane
1769573781.945371 args_parse: flags end at 2 of 4
1769573781.945374 args_parse: 2 = WheelDownPane (type STRING)
1769573781.945379 args_parse: 3 = select-pane ; send-keys -X -N 5 scroll-down (type COMMANDS)
1769573781.945385 cmd_parse_build_commands: bind-key -T copy-mode WheelDownPane { select-pane ; send-keys -X -N 5 scroll-down }
1769573781.945388 cmdq_get_command: [bind-key/0x564fc428ae10] group 1621
1769573781.945392 cmdq_append <global>: [bind-key/0x564fc428ae10]
1769573781.945396 yylex_token: end at WS
1769573781.945399 yylex_token: bind
1769573781.945402 yylex_token: end at WS
1769573781.945406 yylex_token: -Tcopy-mode
1769573781.945409 yylex_token: end at WS
1769573781.945412 yylex_token: DoubleClick1Pane
1769573781.945416 yylex_token: end at ;
1769573781.945419 yylex_token: select-pane
1769573781.945423 yylex_token: end at WS
1769573781.945426 yylex_token: send
1769573781.945429 yylex_token: end at WS
1769573781.945433 yylex_token: -X
1769573781.945436 yylex_token: end at ;
1769573781.945439 yylex_token: select-word
1769573781.945443 yylex_token: end at WS
1769573781.945446 yylex_token: run
1769573781.945449 yylex_token: end at ;
1769573781.945452 yylex_token: -d0.3
1769573781.945456 yylex_token: end at WS
1769573781.945459 yylex_token: send
1769573781.945463 yylex_token: end at WS
1769573781.945466 yylex_token: -X
1769573781.945469 yylex_token: end at WS
1769573781.945473 yylex_token: copy-pipe-and-cancel
1769573781.945477 cmd_parse_build_commands 0:0: bind
1769573781.945480 cmd_parse_build_commands 0:1: -Tcopy-mode
1769573781.945484 cmd_parse_build_commands 0:2: DoubleClick1Pane
1769573781.945487 cmd_parse_build_commands 0:3 0:0: select-pane
1769573781.945491 cmd_parse_build_commands 0:3 1:0: send
1769573781.945494 cmd_parse_build_commands 0:3 1:1: -X
1769573781.945497 cmd_parse_build_commands 0:3 1:2: select-word
1769573781.945504 cmd_parse_build_commands 0:3 2:0: run
1769573781.945508 cmd_parse_build_commands 0:3 2:1: -d0.3
1769573781.945512 cmd_parse_build_commands 0:3 3:0: send
1769573781.945515 cmd_parse_build_commands 0:3 3:1: -X
1769573781.945519 cmd_parse_build_commands 0:3 3:2: copy-pipe-and-cancel
1769573781.945523 cmd_parse_build_commands 0:0: select-pane
1769573781.945526 cmd_parse_build_commands 1:0: send
1769573781.945529 cmd_parse_build_commands 1:1: -X
1769573781.945533 cmd_parse_build_commands 1:2: select-word
1769573781.945536 cmd_parse_build_commands 2:0: run
1769573781.945540 cmd_parse_build_commands 2:1: -d0.3
1769573781.945543 cmd_parse_build_commands 3:0: send
1769573781.945546 cmd_parse_build_commands 3:1: -X
1769573781.945550 cmd_parse_build_commands 3:2: copy-pipe-and-cancel
1769573781.945554 args_parse: flags end at 1 of 1
1769573781.945558 args_parse_flags: next -X
1769573781.945562 args_parse_flags: -X
1769573781.945565 args_parse_flags: next select-word
1769573781.945568 args_parse: flags end at 2 of 3
1769573781.945572 args_parse: 2 = select-word (type STRING)
1769573781.945576 args_parse_flags: next -d0.3
1769573781.945579 args_parse_flag_argument: -d = 0.3
1769573781.945583 args_parse: flags end at 2 of 2
1769573781.945587 args_parse_flags: next -X
1769573781.945590 args_parse_flags: -X
1769573781.945594 args_parse_flags: next copy-pipe-and-cancel
1769573781.945597 args_parse: flags end at 2 of 3
1769573781.945601 args_parse: 2 = copy-pipe-and-cancel (type STRING)
1769573781.945607 cmd_parse_build_commands: select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel
1769573781.945610 args_parse_flags: next -Tcopy-mode
1769573781.945614 args_parse_flag_argument: -T = copy-mode
1769573781.945617 args_parse_flags: next DoubleClick1Pane
1769573781.945620 args_parse: flags end at 2 of 4
1769573781.945624 args_parse: 2 = DoubleClick1Pane (type STRING)
1769573781.945629 args_parse: 3 = select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel (type COMMANDS)
1769573781.945636 cmd_parse_build_commands: bind-key -T copy-mode DoubleClick1Pane { select-pane ; send-keys -X select-word ; run-shell -d 0.3 ; send-keys -X copy-pipe-and-cancel }
1769573781.945640 cmdq_get_command: [bind-key/0x564fc427a6e0] group 1630
1769573781.945644 cmdq_append <global>: [bind-key/0x564fc427a6e0]
1769573781.945648 yylex_token: end at WS
1769573781.945651 yylex_token: bind
1769573781.945654 yylex_token: end at WS
1769573781.945658 yylex_token: -Tcopy-mode
1769573781.945661 yylex_token: end at WS
1769573781.945664 yylex_token: TripleClick1Pane
1769573781.945668 yylex_token: end at ;
1769573781.945671 yylex_token: select-pane
1769573781.945675 yylex_token: end at WS
1769573781.945678 yylex_token: send
1769573781.945681 yylex_token: end at WS
1769573781.945684 yylex_token: -X
1769573781.945688 yylex_token: end at ;
1769573781.945691 yylex_token: select-line
1769573781.945694 yylex_token: end at WS
1769573781.945698 yylex_token: run
1769573781.945701 yylex_token: end at ;
1769573781.945704 yylex_token: -d0.3
1769573781.945708 yylex_token: end at WS
1769573781.945711 yylex_token: send
1769573781.945714 yylex_token: end at WS
1769573781.945717 yylex_token: -X
1769573781.945721 yylex_token: end at WS
1769573781.945724 yylex_token: copy-pipe-and-cancel
1769573781.945728 cmd_parse_build_commands 0:0: bind
1769573781.945732 cmd_parse_build_commands 0:1: -Tcopy-mode
